state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
Connecticut,2012,17.63,68.86,66.05,1.5076530612244903,1.9030612244897944,1.9285714285714293,never
Delaware,2012,13.87,63.73,55.14,1.2219387755102042,2.030612244897961,2.020408163265307,never
Florida,2012,12.45,59.41,54.97,0.6454081632653059,1.0025510204081631,1.0816326530612232,never
Georgia,2012,10.87,52.73,50.5,1.017857142857143,1.948979591836735,1.9693877551020407,never
Hawaii,2012,12.44,57.12,54.12,1.260204081632653,2.0025510204081636,2.1173469387755115,never
Idaho,2012,11.31,47.76,54.56,1.119897959183673,2.0459183673469377,2.0612244897959178,never
Illinois,2012,13.14,64.08,59.37,0.6377551020408163,0.9846938775510184,1.0892857142857133,never
Indiana,2012,11.28,61.82,54.53,1.086734693877551,1.8954081632653061,2.104591836734694,never
Iowa,2012,14.59,67.11,59.74,1.1632653061224487,1.9030612244897962,2.0994897959183665,never
Kansas,2012,11.69,60.14,54.25,1.073979591836735,1.8724489795918375,2.102040816326531,never
Kentucky,2012,10.88,56.07,46.67,1.025510204081633,1.9285714285714293,1.9872448979591835,never
Louisiana,2012,13.33,59.07,52.57,1.0790816326530615,1.7372448979591844,1.8035714285714286,never
Maine,2012,12.44,62.82,57.18,1.1020408163265307,1.946428571428572,2.1071428571428568,before
Maryland,2012,14.67,66.08,62.16,1.216836734693878,1.852040816326532,1.992346938775509,never
Massachusetts,2012,15.59,69.28,67.96,1.1887755102040813,1.7933673469387759,1.948979591836735,before
Michigan,2012,13.35,62.3,57.42,0.670918367346939,0.9387755102040833,1.066326530612245,never
Minnesota,2012,13.1,64.24,63.19,1.1683673469387756,2.043367346938775,2.015306122448979,never
Mississippi,2012,13.01,54.1,42.62,1.1836734693877553,1.8647959183673457,1.9464285714285703,never
Missouri,2012,12.83,60.57,53.94,1.0790816326530615,1.9183673469387745,2.020408163265307,never
Montana,2012,15.49,69.06,63.79,1.293367346938776,1.7729591836734702,1.887755102040816,never
Nebraska,2012,11.45,63.55,57.33,1.0714285714285716,1.869897959183673,2.028061224489795,never
Nevada,2012,13.61,59.47,56.66,1.4693877551020402,2.13265306122449,2.252551020408165,before
